Title,KindlePrice,AudiobookPrice,HardcoverPrice,PaperBackPrice,Rating,Seller
Steve Jobs : The man who made Apple : Greatest Motivational Biographies : Info Edge Biographies Paperback – 22 June 2022,₹94.00,No AudiobookPrice,No HardcoverPrice,No PaperbackPrice,5.0,Repro Books-On-Demand
The Psychology of Money – Deluxe Edition Hardcover – 15 July 2021,₹236.55,₹0.00,₹399.00,₹249.00,4.6,Cocoblu Retail
The Personal MBA : A World-Class Business Education in a Single Volume Paperback – 1 January 2012,₹300.31,₹0.00,"from ₹3,091.73",₹416.00,4.5,uRead-Store
Hidden Potential: The Science of Achieving Greater Things Hardcover – 26 October 2023,₹353.41,₹0.00,₹804.00,₹399.00,4.6,Repro Books-On-Demand
Shoe Dog: A Memoir by the Creator of NIKE [Paperback] Phil Knight Paperback – 1 January 2018,₹895.00,₹330.00,"₹1,511.00",No PaperbackPrice,4.6,Amazing_Buy
"Think Again: The Power of Knowing What You Don't Know Paperback – Import, 29 June 2023",₹223.25,₹0.00,"₹1,283.07",₹453.00,4.6,uRead-Store
"Rich Dad Poor Dad : What the Rich Teach Their Kids About Money Mass Market Paperback – Import, 1 January 2022",₹374.30,₹0.00,₹322.00,"₹2,318.00",,
Multipliers: How the Best Leaders Make Everyone Smart (Revised and Updated) Paperback – 30 June 2017,₹294.50,₹0.00,"₹1,700.00",₹352.00,4.6,uRead-Store
The Hard Thing about Hard Thing: Building a Business When There are No Easy Answers Perfect Paperback – 1 January 2020,₹361.71,₹0.00,₹479.00,₹356.00,4.6,HANU BOOKS STORE
How to Win Friends and Influence People : Original Edition | Premium Paperback Paperback – 12 October 2020,₹0.00,₹0.00,₹125.00,₹135.00,4.5,Cocoblu Retail
"Lean Startup: How to Apply the Lean Startup Methodology to Innovate, Accelerate, and Create Successful Businesses (Lean Guides with Scrum, Sprint, Kanban, DSDM, XP & Crystal) Paperback – 11 January 2020",₹215.00,"₹1,210.00","₹1,294.00",No PaperbackPrice,3.3,Repro Books-On-Demand
"Good To Great: Why Some Companies Make the Leap...And Others Don't Collins, Jim Hardcover – 1 January 2010",₹0.00,₹747.00,₹645.00,"₹2,737.00",4.6,uRead-Store
