Title,Author,Avg_Rating
Steve Jobs,"Isaacson, Walter *",4.16
The Intelligent Investor,"Graham, Benjamin",4.25
The Personal MBA: Master the Art of Business,"Kaufman, Josh",4.11
Hidden Potential: The Science of Achieving Greater Things,"Grant, Adam M. *",4.12
Shoe Dog: A Memoir by the Creator of Nike,"Knight, Phil",4.47
Think Again: The Power of Knowing What You Don't Know,"Grant, Adam",4.17
"Rich Dad, Poor Dad","Kiyosaki, Robert T.",4.11
Start with Why: How Great Leaders Inspire Everyone to Take Action,"Sinek, Simon *",4.10
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,"Horowitz, Ben *",4.22
How to Win Friends and Influence People,"Carnegie, Dale",4.22
The Lean Startup,"Ries, Eric *",4.11
Good to Great: Why Some Companies Make the Leap... and Others Don't,"Collins, James C.",4.13
